"","county","Category","Sales_Dollars","Sales_Volume","High School","Bachelor","Unemployment","Income","Population","White Population","Black Population","Indian Population","Asain Population","Hawaiian Population","Other Population","Multi Population"
"81","Bremer","Schnapps",93232,7445,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"82","Bremer","Gin",37452,2914,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"83","Bremer","Misc",137292,8384,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"84","Bremer","Vodka",357142,34371,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"85","Bremer","Tequila",81558,5547,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"86","Bremer","Amaretto",6463,663,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"87","Bremer","Whisky",665938,47591,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"88","Bremer","Rum",317573,23389,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"89","Bremer","Distilled Spirits",7044,447,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"90","Bremer","Brandy",40976,3437,95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215
"91","Buchanan","Gin",15637,1335,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"92","Buchanan","Rum",154716,11193,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"93","Buchanan","Whisky",392947,27337,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"94","Buchanan","Tequila",71130,5749,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"95","Buchanan","Vodka",196392,19334,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"96","Buchanan","Schnapps",63574,4549,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"97","Buchanan","Distilled Spirits",5107,313,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"98","Buchanan","Misc",84207,5055,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
"99","Buchanan","Amaretto",4031,395,92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177
