"","zipcode","city","county","city_avg_sales","zipcode_avg_sales"
"406",50621,"Conrad","Grundy",5134,5134
"407",50622,"Denver","Bremer",8940.9,8940.9
"412",50627,"Eldora","Hardin",24624.3,24624.3
"413",50628,"Elma","Howard",7548.8,7548.8
"414",50629,"Fairbank","Buchanan",5273.4,5273.4
"415",50630,"Fredericksburg","Chickasaw",3759.7,3759.7
"419",50634,"Gilbertville","Black Hawk",268.75,268.75
"420",50635,"Gladbrook","Tama",3386,3386
"421",50636,"Greene","Butler",3577.2,3577.2
"422",50638,"Grundy Center","Grundy",19232.3,19232.3
"423",50641,"Hazleton","Buchanan",2816.77777777778,2816.77777777778
"425",50643,"Hudson","Black Hawk",3197.4,3197.4
"426",50644,"Independence","Buchanan",77609.5,77609.5
"429",50648,"Jesup","Buchanan",8085.4,8085.4
"432",50651,"La Porte City","Black Hawk",12325.6,12325.6
"438",50658,"Nashua","Chickasaw",3738.2,3738.2
"439",50659,"New Hampton","Chickasaw",21119.5,21119.5
"442",50662,"Oelwein","Fayette",67314.6,67314.6
"444",50665,"Parkersburg","Butler",10886.3,10886.3
"446",50667,"Raymond","Black Hawk",2316.5,2316.5
"448",50669,"Reinbeck","Grundy",3409.8,3409.8
"453",50674,"Sumner","Bremer",9064.9,9064.9
"454",50675,"Traer","Tama",9544.2,9544.2
"455",50676,"Tripoli","Bremer",18646.5,18646.5
"456",50677,"Waverly","Bremer",137814.8,137814.8
"457",50680,"Wellsburg","Grundy",2006.44444444444,2006.44444444444
"459",50682,"Winthrop","Buchanan",7116.6,7116.6
"460",50701,"Waterloo","Black Hawk",963119.6,227732.5
"461",50702,"Waterloo","Black Hawk",963119.6,401459.3
"462",50703,"Waterloo","Black Hawk",963119.6,333927.8
"464",50707,"Evansdale","Black Hawk",53375.9,53375.9
"465",50801,"Creston","Union",88709,88709
"466",50830,"Afton","Union",3199.9,3199.9
"468",50833,"Bedford","Taylor",5958.9,5958.9
"474",50841,"Corning","Adams",17964.9,17964.9
"478",50846,"Fontanelle","Adair",5452.3,5452.3
"481",50849,"Greenfield","Adair",13514,13514
"482",50851,"Lenox","Taylor",4525.5,4525.5
"484",50854,"Mount Ayr","Ringgold",13927.2,13927.2
"492",50864,"Villisca","Montgomery",1207.66666666667,1207.66666666667
"501",51001,"Akron","Plymouth",3107,3107
"502",51002,"Alta","Buena Vista",1212.28571428571,1212.28571428571
"503",51003,"Alton","Sioux",7806.3,7806.3
"504",51004,"Anthon","Woodbury",10341.9,10341.9
"505",51005,"Aurelia","Cherokee",940.777777777778,940.777777777778
"512",51012,"Cherokee","Cherokee",66889.4,66889.4
"520",51023,"Hawarden","Sioux",12493.1,12493.1
"522",51025,"Holstein","Ida",24005.7,24005.7
"524",51027,"Ireton","Sioux",1787.44444444444,1787.44444444444
"525",51028,"Kingsley","Plymouth",6515.5,6515.5
"528",51031,"Le Mars","Plymouth",129776.5,129776.5
"530",51034,"Mapleton","Monona",22966.3,22966.3
"531",51035,"Marcus","Cherokee",3828.11111111111,3828.11111111111
"534",51038,"Merrill","Plymouth",802.625,802.625
"536",51040,"Onawa","Monona",28607,28607
"537",51041,"Orange City","Sioux",39905.1,39905.1
"540",51046,"Paullina","Obrien",8376,8376
"544",51050,"Remsen","Plymouth",12006.3,12006.3
"547",51053,"Schaller","Sac",962,962
"548",51054,"Sergeant Bluff","Woodbury",18807.2,18807.2
"549",51055,"Sloan","Woodbury",8883.875,8883.875
"551",51058,"Sutherland","Obrien",4086.2,4086.2
"553",51061,"Washta","Cherokee",46.875,46.875
"556",51101,"Sioux City","Woodbury",878457.1,50512.1
"558",51103,"Sioux City","Woodbury",878457.1,193566
"559",51104,"Sioux City","Woodbury",878457.1,119104.1
"560",51105,"Sioux City","Woodbury",878457.1,97436
"561",51106,"Sioux City","Woodbury",878457.1,336145.9
"562",51108,"Sioux City","Woodbury",878457.1,70656.9
"563",51109,"Sioux City","Woodbury",878457.1,12261.8888888889
"565",51201,"Sheldon","Obrien",79909,79909
"566",51230,"Alvord","Lyon",38.25,38.25
"571",51237,"George","Lyon",4198.55555555556,4198.55555555556
"572",51238,"Hospers","Sioux",1143.5,1143.5
"574",51240,"Inwood","Lyon",10317.3,10317.3
"575",51241,"Larchwood","Lyon",21600.5,21600.5
"579",51245,"Primghar","Obrien",9143.1,9143.1
"580",51246,"Rock Rapids","Lyon",31632.5,31632.5
"581",51247,"Rock Valley","Sioux",12870.8,12870.8
"582",51248,"Sanborn","Obrien",6560.9,6560.9
"583",51249,"Sibley","Osceola",23332.3,23332.3
"584",51250,"Sioux Center","Sioux",66240,66240
"585",51301,"Spencer","Clay",144895.7,144895.7
"586",51331,"Arnolds Park","Dickinson",40305.1,40305.1
"588",51334,"Estherville","Emmet",56318.6,56318.6
"589",51338,"Everly","Clay",889.666666666667,889.666666666667
"592",51342,"Graettinger","Palo Alto",3538.33333333333,3538.33333333333
"595",51346,"Hartley","Obrien",14264.2,14264.2
"596",51347,"Lake Park","Dickinson",3063.6,3063.6
"598",51351,"Milford","Dickinson",116163.3,116163.3
"600",51355,"Okoboji","Dickinson",3654.125,3654.125
"602",51358,"Ruthven","Palo Alto",3761.77777777778,3761.77777777778
"603",51360,"Spirit Lake","Dickinson",213965.3,213965.3
"608",51401,"Carroll","Carroll",203906.1,203906.1
"617",51442,"Denison","Crawford",111792.2,111792.2
"618",51443,"Glidden","Carroll",2828.5,2828.5
"620",51445,"Ida Grove","Ida",23547.4,23547.4
"624",51449,"Lake City","Calhoun",11510.7,11510.7
"625",51450,"Lake View","Sac",18416.2,18416.2
"628",51453,"Lohrville","Calhoun",440.875,440.875
"630",51455,"Manning","Carroll",9668,9668
"634",51461,"Schleswig","Crawford",10278.4,10278.4
"635",51462,"Scranton","Greene",2079.4,2079.4
"636",51463,"Templeton","Carroll",216,216
"638",51466,"Wall Lake","Sac",1302,1302
"640",51501,"Council Bluffs","Pottawattamie",871818.4,517502.1
"642",51503,"Council Bluffs","Pottawattamie",871818.4,354316.3
"643",51510,"Carter Lake","Pottawattamie",9529.25,9529.25
"645",51521,"Avoca","Pottawattamie",34431.1,34431.1
"648",51526,"Crescent","Pottawattamie",1180,1180
"651",51529,"Dunlap","Harrison",12358.7,12358.7
"656",51534,"Glenwood","Mills",31536.6,31536.6
"657",51535,"Griswold","Cass",1216.11111111111,1216.11111111111
"659",51537,"Harlan","Shelby",74180.9,74180.9
"666",51546,"Logan","Harrison",6672.9,6672.9
"670",51551,"Malvern","Mills",3004.8,3004.8
"672",51553,"Minden","Pottawattamie",766.625,766.625
"674",51555,"Missouri Valley","Harrison",20718.6,20718.6
"678",51559,"Neola","Pottawattamie",5310.875,5310.875
"679",51560,"Oakland","Pottawattamie",10666.1,10666.1
"680",51561,"Pacific Junction","Mills",9573.3,9573.3
"685",51566,"Red Oak","Montgomery",57789.7,57789.7
"686",51570,"Shelby","Shelby",135,135
"689",51573,"Stanton","Montgomery",145,145
"690",51575,"Treynor","Pottawattamie",2550.1,2550.1
"692",51577,"Walnut","Pottawattamie",4322.75,4322.75
"694",51579,"Woodbine","Harrison",5719.8,5719.8
"697",51601,"Shenandoah","Page",74383.5,74383.5
"701",51632,"Clarinda","Page",40155.8,40155.8
"706",51640,"Hamburg","Fremont",2046.6,2046.6
"715",51653,"Tabor","Fremont",509.777777777778,509.777777777778
"718",52001,"Dubuque","Dubuque",735179.1,415549
"719",52002,"Dubuque","Dubuque",735179.1,164090.8
"720",52003,"Dubuque","Dubuque",735179.1,152083.4
"723",52031,"Bellevue","Jackson",27557.5,27557.5
"725",52033,"Cascade","Dubuque",13165,13165
"726",52035,"Colesburg","Delaware",1308.55555555556,1308.55555555556
"728",52037,"Delmar","Clinton",1123.9,1123.9
"731",52040,"Dyersville","Dubuque",44277.2,44277.2
"733",52042,"Edgewood","Clayton",4799.22222222222,4799.22222222222
"734",52043,"Elkader","Clayton",4309.4,4309.4
"737",52046,"Farley","Dubuque",2906.1,2906.1
"740",52049,"Garnavillo","Clayton",735.555555555556,735.555555555556
"742",52052,"Guttenberg","Clayton",24365.3,24365.3
"743",52053,"Holy Cross","Dubuque",9273,9273
"746",52057,"Manchester","Delaware",86088.6,86088.6
"747",52060,"Maquoketa","Jackson",82978.9,82978.9
"751",52068,"Peosta","Dubuque",3247.8,3247.8
"752",52069,"Preston","Jackson",1014.3,1014.3
"759",52076,"Strawberry Point","Clayton",6220.9,6220.9
"762",52079,"Zwingle","Dubuque",2473.3,2473.3
"764",52101,"Decorah","Winneshiek",118131.6,118131.6
"767",52134,"Chester","Howard",332.888888888889,332.888888888889
"769",52136,"Cresco","Howard",64178,64178
"772",52142,"Fayette","Fayette",8715,8715
"773",52144,"Fort Atkinson","Winneshiek",8799.9,8799.9
"774",52146,"Harpers Ferry","Allamakee",1729.3,1729.3
"777",52151,"Lansing","Allamakee",10492.9,10492.9
"778",52154,"Lawler","Chickasaw",7677.33333333333,7677.33333333333
"783",52159,"Monona","Clayton",16092.7,16092.7
"785",52161,"Ossian","Winneshiek",3847.33333333333,3847.33333333333
"786",52162,"Postville","Allamakee",3806.88888888889,3806.88888888889
"795",52172,"Waukon","Allamakee",64226.1,64226.1
"796",52175,"West Union","Fayette",26706.6,26706.6
"798",52202,"Alburnett","Linn",95.2857142857143,95.2857142857143
"801",52205,"Anamosa","Jones",62067.6,62067.6
"802",52206,"Atkins","Benton",420,420
"803",52207,"Baldwin","Jackson",2827,2827
"804",52208,"Belle Plaine","Benton",26120.9,26120.9
"807",52211,"Brooklyn","Poweshiek",11206.6,11206.6
"809",52213,"Center Point","Linn",7136.6,7136.6
"810",52214,"Central City","Linn",7477.1,7477.1
"819",52223,"Delhi","Delaware",364.25,364.25
"820",52224,"Dysart","Tama",3841,3841
"822",52227,"Ely","Linn",3064.7,3064.7
"823",52228,"Fairfax","Linn",1349.75,1349.75
"827",52233,"Hiawatha","Linn",25605,25605
"831",52240,"Iowa City","Johnson",953208.7,808257.2
"832",52241,"Coralville","Johnson",514627.2,514627.2
"836",52245,"Iowa City","Johnson",953208.7,45932.2
"837",52246,"Iowa City","Johnson",953208.7,99019
"839",52248,"Keota","Keokuk",2388.88888888889,2388.88888888889
"843",52253,"Lisbon","Linn",7651,7651
"844",52254,"Lost Nation","Clinton",1337.1,1337.1
"847",52301,"Marengo","Iowa",28704,28704
"848",52302,"Marion","Linn",210673.7,210673.7
"850",52306,"Mechanicsville","Cedar",2810.8,2810.8
"854",52310,"Monticello","Jones",46458.1,46458.1
"857",52314,"Mount Vernon","Linn",221605.1,221605.1
"859",52316,"North English","Iowa",4697.1,4697.1
"860",52317,"North Liberty","Johnson",110368.2,110368.2
"866",52324,"Palo","Linn",5467.5,5467.5
"869",52327,"Riverside","Washington",22814.3333333333,22814.3333333333
"870",52328,"Robins","Linn",485.666666666667,485.666666666667
"873",52332,"Shellsburg","Benton",8238,8238
"874",52333,"Solon","Johnson",17326,17326
"877",52336,"Springville","Linn",1829.22222222222,1829.22222222222
"878",52337,"Stanwood","Cedar",1695.22222222222,1695.22222222222
"879",52338,"Swisher","Johnson",22665,22665
"881",52340,"Tiffin","Johnson",6926.4,6926.4
"883",52342,"Toledo","Tama",45497.4,45497.4
"885",52345,"Urbana","Benton",3492.5,3492.5
"886",52346,"Van Horne","Benton",66.25,66.25
"887",52347,"Victor","Iowa",1211.2,1211.2
"889",52349,"Vinton","Benton",30375.2,30375.2
"890",52351,"Walford","Benton",1447,1447
"891",52352,"Walker","Linn",2113.5,2113.5
"892",52353,"Washington","Washington",113769.2,113769.2
"895",52356,"Wellman","Washington",8497.4,8497.4
"896",52358,"West Branch","Cedar",6953,6953
"898",52361,"Williamsburg","Iowa",24888.2,24888.2
"900",52401,"Cedar Rapids","Linn",1827150.1,222192.7
"901",52402,"Cedar Rapids","Linn",1827150.1,846088.8
"902",52403,"Cedar Rapids","Linn",1827150.1,113361
"903",52404,"Cedar Rapids","Linn",1827150.1,360314.1
"904",52405,"Cedar Rapids","Linn",1827150.1,185809.8
"910",52411,"Cedar Rapids","Linn",1827150.1,99383.7
"914",52501,"Ottumwa","Wapello",236639.2,236639.2
"916",52531,"Albia","Monroe",28839.5,28839.5
"921",52537,"Bloomfield","Davis",9351,9351
"925",52544,"Centerville","Appanoose",71053.1,71053.1
"931",52553,"Eddyville","Wapello",3003,3003
"932",52554,"Eldon","Wapello",1784.6,1784.6
"934",52556,"Fairfield","Jefferson",80697.8,80697.8
"940",52565,"Keosauqua","Van Buren",15574.9,15574.9
"946",52571,"Moravia","Appanoose",5534.8,5534.8
"951",52577,"Oskaloosa","Mahaska",118545.3,118545.3
"959",52590,"Seymour","Wayne",345.5,345.5
"960",52591,"Sigourney","Keokuk",11687,11687
"964",52601,"Burlington","Des Moines",255397.1,255397.1
"968",52623,"Danville","Des Moines",640.888888888889,640.888888888889
"970",52625,"Donnellson","Lee",2030.3,2030.3
"971",52626,"Farmington","Van Buren",2764.3,2764.3
